,home,score,away,year
0,France ,4–1, Mexico,1930
1,Argentina ,1–0, France,1930
2,Chile ,3–0, Mexico,1930
3,Chile ,1–0, France,1930
4,Argentina ,6–3, Mexico,1930
5,Argentina ,3–1, Chile,1930
6,Yugoslavia ,2–1, Brazil,1930
7,Yugoslavia ,4–0, Bolivia,1930
8,Brazil ,4–0, Bolivia,1930
9,Romania ,3–1, Peru,1930
10,Uruguay ,1–0, Peru,1930
11,Uruguay ,4–0, Romania,1930
12,United States ,3–0, Belgium,1930
13,United States ,3–0, Paraguay,1930
14,Paraguay ,1–0, Belgium,1930
15,Argentina ,6–1, United States,1930
16,Uruguay ,6–1, Yugoslavia,1930
17,Uruguay ,4–2, Argentina,1930
18,Spain ,3–1, Brazil,1934
19,Hungary ,4–2, Egypt,1934
20,Switzerland ,3–2, Netherlands,1934
21,Italy ,7–1, United States,1934
22,Czechoslovakia ,2–1, Romania,1934
23,Sweden ,3–2, Argentina,1934
24,Austria ,3–2 (a.e.t.), France,1934
25,Germany ,5–2, Belgium,1934
26,Austria ,2–1, Hungary,1934
27,Italy ,1–1 (a.e.t.), Spain,1934
28,Germany ,2–1, Sweden,1934
29,Czechoslovakia ,3–2,  Switzerland,1934
30,Italy ,1–0, Spain,1934
31,Italy ,1–0, Austria,1934
32,Czechoslovakia ,3–1, Germany,1934
33,Germany ,3–2, Austria,1934
34,Italy ,2–1 (a.e.t.), Czechoslovakia,1934
35,Switzerland ,1–1 (a.e.t.), Germany,1938
36,Hungary ,6–0, Dutch East Indies,1938
37,Sweden ,3–0Awarded[a], Austria,1938
38,Cuba ,3–3 (a.e.t.), Romania,1938
39,France ,3–1, Belgium,1938
40,Italy ,2–1 (a.e.t.), Norway,1938
41,Brazil ,6–5 (a.e.t.), Poland,1938
42,Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938
43,Switzerland ,4–2, Germany,1938
44,Cuba ,2–1, Romania,1938
45,Hungary ,2–0,  Switzerland,1938
46,Sweden ,8–0, Cuba,1938
47,Italy ,3–1, France,1938
48,Brazil ,1–1 (a.e.t.), Czechoslovakia,1938
49,Brazil ,2–1, Czechoslovakia,1938
50,Hungary ,5–1, Sweden,1938
51,Italy ,2–1, Brazil,1938
52,Brazil ,4–2, Sweden,1938
53,Italy ,4–2, Hungary,1938
54,Brazil ,4–0, Mexico,1950
55,Yugoslavia ,3–0,  Switzerland,1950
56,Brazil ,2–2,  Switzerland,1950
57,Yugoslavia ,4–1, Mexico,1950
58,Brazil ,2–0, Yugoslavia,1950
59,Switzerland ,2–1, Mexico,1950
60,England ,2–0, Chile,1950
61,Spain ,3–1, United States,1950
62,Spain ,2–0, Chile,1950
63,United States ,1–0, England,1950
64,Spain ,1–0, England,1950
65,Chile ,5–2, United States,1950
66,Sweden ,3–2, Italy,1950
67,Sweden ,2–2, Paraguay,1950
68,Italy ,2–0, Paraguay,1950
69,Uruguay ,8–0, Bolivia,1950
70,Uruguay ,2–2, Spain,1950
71,Brazil ,7–1, Sweden,1950
72,Brazil ,6–1, Spain,1950
73,Uruguay ,3–2, Sweden,1950
74,Sweden ,3–1, Spain,1950
75,Uruguay ,2–1, Brazil,1950
76,Brazil ,5–0, Mexico,1954
77,Yugoslavia ,1–0, France,1954
78,Brazil ,1–1 (a.e.t.), Yugoslavia,1954
79,France ,3–2, Mexico,1954
80,West Germany ,4–1, Turkey,1954
81,Hungary ,9–0, South Korea,1954
82,Hungary ,8–3, West Germany,1954
83,Turkey ,7–0, South Korea,1954
84,West Germany ,7–2, Turkey,1954
85,Uruguay ,2–0, Czechoslovakia,1954
86,Austria ,1–0, Scotland,1954
87,Uruguay ,7–0, Scotland,1954
88,Austria ,5–0, Czechoslovakia,1954
89,Switzerland ,2–1, Italy,1954
90,England ,4–4 (a.e.t.), Belgium,1954
91,Italy ,4–1, Belgium,1954
92,England ,2–0,  Switzerland,1954
93,Switzerland ,4–1, Italy,1954
94,Austria ,7–5,  Switzerland,1954
95,Uruguay ,4–2, England,1954
96,West Germany ,2–0, Yugoslavia,1954
97,Hungary ,4–2, Brazil,1954
98,West Germany ,6–1, Austria,1954
99,Hungary ,4–2 (a.e.t.), Uruguay,1954
